A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,class
b,[-Inf;38.96],[-Inf;4.02],u,g,w,v,(1.02; Inf],t,t,(0.5;2.5],f,g,(111; Inf],[-Inf;492],+
b,[-Inf;38.96],[-Inf;4.02],u,g,i,v,[-Inf;1.02],f,f,[-Inf;0.5],f,g,(111; Inf],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],u,g,c,j,(1.02; Inf],f,f,[-Inf;0.5],t,s,[-Inf;111],[-Inf;492],+
a,[-Inf;38.96],[-Inf;4.02],,,,,[-Inf;1.02],f,f,[-Inf;0.5],f,p,(111; Inf],[-Inf;492],+
b,[-Inf;38.96],[-Inf;4.02],u,g,q,v,[-Inf;1.02],f,f,[-Inf;0.5],f,g,(111; Inf],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],y,p,cc,v,[-Inf;1.02],f,f,[-Inf;0.5],f,g,(111; Inf],[-Inf;492],-
b,[-Inf;38.96],(4.02; Inf],u,g,c,v,(1.02; Inf],f,f,[-Inf;0.5],f,s,[-Inf;111],[-Inf;492],-
b,[-Inf;38.96],(4.02; Inf],y,p,i,bb,[-Inf;1.02],f,f,[-Inf;0.5],t,g,(111; Inf],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],u,g,ff,ff,[-Inf;1.02],f,f,[-Inf;0.5],f,g,[-Inf;111],(492; Inf],-
b,[-Inf;38.96],(4.02; Inf],u,g,d,h,[-Inf;1.02],f,f,[-Inf;0.5],f,g,(111; Inf],[-Inf;492],-
a,[-Inf;38.96],[-Inf;4.02],u,g,w,v,(1.02; Inf],f,f,[-Inf;0.5],f,g,(111; Inf],[-Inf;492],-
a,[-Inf;38.96],[-Inf;4.02],u,g,q,v,[-Inf;1.02],f,f,[-Inf;0.5],t,g,(111; Inf],(492; Inf],-
a,[-Inf;38.96],[-Inf;4.02],u,g,m,h,[-Inf;1.02],f,t,(0.5;2.5],t,g,(111; Inf],[-Inf;492],-
a,[-Inf;38.96],[-Inf;4.02],u,g,ff,ff,[-Inf;1.02],f,f,[-Inf;0.5],f,g,[-Inf;111],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],y,p,k,ff,[-Inf;1.02],f,f,[-Inf;0.5],f,g,(111; Inf],[-Inf;492],-
a,[-Inf;38.96],[-Inf;4.02],u,g,w,v,[-Inf;1.02],f,t,(0.5;2.5],t,g,(111; Inf],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],u,g,c,n,[-Inf;1.02],f,t,(0.5;2.5],t,g,(111; Inf],(492; Inf],-
b,(38.96; Inf],[-Inf;4.02],y,p,m,v,[-Inf;1.02],f,f,[-Inf;0.5],t,g,(111; Inf],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],u,g,aa,v,[-Inf;1.02],f,f,[-Inf;0.5],t,g,[-Inf;111],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],u,g,k,v,(1.02; Inf],f,f,[-Inf;0.5],t,g,(111; Inf],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],u,g,i,bb,(1.02; Inf],f,f,[-Inf;0.5],t,g,(111; Inf],[-Inf;492],-
,[-Inf;38.96],[-Inf;4.02],y,p,cc,v,(1.02; Inf],f,f,[-Inf;0.5],t,g,(111; Inf],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],y,p,aa,v,(1.02; Inf],f,f,[-Inf;0.5],t,g,(111; Inf],[-Inf;492],-
a,(38.96; Inf],(4.02; Inf],u,g,aa,h,(1.02; Inf],f,f,[-Inf;0.5],f,g,[-Inf;111],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],y,p,w,v,[-Inf;1.02],f,f,[-Inf;0.5],t,g,(111; Inf],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],u,g,cc,v,[-Inf;1.02],f,f,[-Inf;0.5],t,g,[-Inf;111],(492; Inf],-
a,[-Inf;38.96],(4.02; Inf],u,g,c,v,[-Inf;1.02],f,f,[-Inf;0.5],f,g,[-Inf;111],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],u,g,k,h,(1.02; Inf],f,f,[-Inf;0.5],t,g,(111; Inf],[-Inf;492],-
a,[-Inf;38.96],[-Inf;4.02],u,g,ff,ff,[-Inf;1.02],f,t,(2.5; Inf],f,g,[-Inf;111],[-Inf;492],-
b,(38.96; Inf],[-Inf;4.02],u,g,i,bb,[-Inf;1.02],f,f,[-Inf;0.5],f,g,[-Inf;111],[-Inf;492],-
a,[-Inf;38.96],(4.02; Inf],u,g,q,v,[-Inf;1.02],f,t,(0.5;2.5],t,g,[-Inf;111],[-Inf;492],-
a,[-Inf;38.96],[-Inf;4.02],u,g,i,v,[-Inf;1.02],f,f,[-Inf;0.5],t,s,(111; Inf],[-Inf;492],-
b,[-Inf;38.96],(4.02; Inf],u,g,i,v,[-Inf;1.02],t,f,[-Inf;0.5],t,g,[-Inf;111],[-Inf;492],-
a,[-Inf;38.96],[-Inf;4.02],u,g,q,v,[-Inf;1.02],f,t,(0.5;2.5],t,g,(111; Inf],[-Inf;492],-
a,[-Inf;38.96],(4.02; Inf],y,p,ff,ff,[-Inf;1.02],f,f,[-Inf;0.5],f,g,[-Inf;111],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],u,g,c,h,(1.02; Inf],f,t,(0.5;2.5],t,g,(111; Inf],[-Inf;492],-
a,[-Inf;38.96],[-Inf;4.02],u,g,aa,v,[-Inf;1.02],f,f,[-Inf;0.5],f,g,[-Inf;111],[-Inf;492],-
a,[-Inf;38.96],[-Inf;4.02],u,g,c,v,[-Inf;1.02],f,f,[-Inf;0.5],f,g,(111; Inf],[-Inf;492],-
a,[-Inf;38.96],[-Inf;4.02],u,g,c,v,[-Inf;1.02],f,t,(0.5;2.5],t,g,[-Inf;111],[-Inf;492],-
b,[-Inf;38.96],(4.02; Inf],u,g,aa,v,[-Inf;1.02],f,f,[-Inf;0.5],f,g,[-Inf;111],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],u,g,c,v,[-Inf;1.02],f,f,[-Inf;0.5],f,g,(111; Inf],[-Inf;492],-
a,[-Inf;38.96],[-Inf;4.02],u,g,w,v,[-Inf;1.02],f,f,[-Inf;0.5],t,g,(111; Inf],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],y,p,cc,v,(1.02; Inf],f,f,[-Inf;0.5],t,g,(111; Inf],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],y,p,w,v,[-Inf;1.02],f,f,[-Inf;0.5],f,s,(111; Inf],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],y,p,m,v,[-Inf;1.02],f,f,[-Inf;0.5],f,g,[-Inf;111],[-Inf;492],-
a,[-Inf;38.96],(4.02; Inf],u,g,c,v,[-Inf;1.02],f,f,[-Inf;0.5],t,g,(111; Inf],[-Inf;492],-
b,(38.96; Inf],[-Inf;4.02],y,p,ff,ff,(1.02; Inf],f,f,[-Inf;0.5],f,g,(111; Inf],[-Inf;492],-
b,(38.96; Inf],(4.02; Inf],u,g,w,v,(1.02; Inf],f,f,[-Inf;0.5],f,g,(111; Inf],[-Inf;492],-
b,[-Inf;38.96],(4.02; Inf],u,g,cc,v,[-Inf;1.02],f,f,[-Inf;0.5],f,g,[-Inf;111],[-Inf;492],-
a,(38.96; Inf],[-Inf;4.02],u,g,aa,v,[-Inf;1.02],f,f,[-Inf;0.5],t,g,(111; Inf],[-Inf;492],-
,[-Inf;38.96],[-Inf;4.02],y,p,e,h,(1.02; Inf],f,f,[-Inf;0.5],f,g,(111; Inf],[-Inf;492],-
a,[-Inf;38.96],[-Inf;4.02],u,g,i,h,[-Inf;1.02],f,f,[-Inf;0.5],f,g,(111; Inf],[-Inf;492],-
a,(38.96; Inf],[-Inf;4.02],u,g,aa,v,[-Inf;1.02],f,f,[-Inf;0.5],f,g,(111; Inf],[-Inf;492],-
a,[-Inf;38.96],[-Inf;4.02],u,g,c,v,[-Inf;1.02],f,f,[-Inf;0.5],f,g,[-Inf;111],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],u,g,k,v,[-Inf;1.02],f,f,[-Inf;0.5],f,g,(111; Inf],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],y,p,d,h,(1.02; Inf],f,f,[-Inf;0.5],f,g,(111; Inf],(492; Inf],-
b,[-Inf;38.96],[-Inf;4.02],u,g,i,v,[-Inf;1.02],f,f,[-Inf;0.5],t,g,(111; Inf],[-Inf;492],-
b,(38.96; Inf],[-Inf;4.02],u,g,m,v,(1.02; Inf],f,f,[-Inf;0.5],t,s,(111; Inf],[-Inf;492],-
a,[-Inf;38.96],[-Inf;4.02],u,g,c,v,(1.02; Inf],f,t,(0.5;2.5],t,g,(111; Inf],[-Inf;492],-
a,[-Inf;38.96],(4.02; Inf],y,p,ff,ff,(1.02; Inf],f,t,(0.5;2.5],t,g,(111; Inf],[-Inf;492],-
b,[-Inf;38.96],[-Inf;4.02],u,g,aa,v,[-Inf;1.02],f,f,[-Inf;0.5],f,g,(111; Inf],(492; Inf],-
b,[-Inf;38.96],[-Inf;4.02],u,g,c,h,(1.02; Inf],f,f,[-Inf;0.5],t,g,[-Inf;111],[-Inf;492],-
